2016-06-28,4.880000,5.150000,4.810000,5.110000,5.110000,26100,MJCO,1yr
,MJCO,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-18,18.110001,18.190001,17.700001,17.920000,17.920000,544200,MTCH,1yr
,MTCH,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-06-24,15.990000,16.139999,15.160000,15.190000,15.190000,286500,MCRN,1yr
,MCRN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-18,22.670000,23.219999,22.492001,22.959999,22.959999,154700,MIME,1yr
,MIME,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-07-19,8.390000,8.620000,8.380000,8.620000,8.620000,48600,OOMA,1yr
,OOMA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-10-05,14.750000,15.080000,14.650000,14.830000,14.830000,1398300,PSTG,1yr
,PSTG,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-07-18,12.800000,12.930000,12.600000,12.820000,12.820000,109900,RPD,1yr
,RPD,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-05-19,26.070000,26.290001,25.700001,25.969999,25.969999,760400,SHOP,1yr
,SHOP,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-18,12.260000,12.470000,12.145000,12.160000,12.160000,2935500,SQ,1yr
,SQ,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-27,22.530001,22.709999,22.260000,22.490000,22.490000,142500,TWOU,1yr
,TWOU,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-27,37.389999,37.470001,36.299999,37.389999,37.389999,326400,TWOU,3yr
,TWOU,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-20,4.270000,4.450000,4.270000,4.450000,4.450000,174000,ATEN,1yr
,ATEN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-20,9.180000,9.310000,9.110000,9.220000,9.220000,230200,ATEN,3yr
,ATEN,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-27,4.280000,4.370000,4.250000,4.310000,4.310000,118000,HIVE,1yr
,HIVE,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-27,4.210000,4.330000,4.210000,4.280000,4.280000,106100,HIVE,3yr
,HIVE,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-20,8.970000,9.460000,8.950000,9.230000,9.230000,53800,AMBR,1yr
,AMBR,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-20,7.350000,7.500000,7.280000,7.350000,7.350000,80400,AMBR,3yr
,AMBR,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-06-05,73.599998,77.900002,73.500000,77.089996,77.089996,1422600,ANET,1yr
,ANET,1yr
